ID,time,mortality_signal
AL-2020-01,2020-02-05T14:02:40Z,0
AL-2020-01,2020-02-05T20:01:04Z,0
AL-2020-01,2020-02-06T02:59:12Z,0
AL-2020-01,2020-02-07T20:01:04Z,0
AL-2020-01,2020-02-09T14:02:40Z,0
AL-2020-01,2020-02-12T02:59:12Z,0
AL-2020-01,2020-02-13T20:01:04Z,0
AL-2020-01,2020-02-15T14:02:40Z,0
AL-2020-01,2020-02-18T02:59:12Z,0
AL-2020-01,2020-02-19T20:01:04Z,0
AL-2020-01,2020-02-21T14:02:40Z,0
AL-2020-01,2020-02-24T02:59:12Z,0
AL-2020-01,2020-02-25T20:01:04Z,0
AL-2020-01,2020-02-27T14:02:40Z,0
AL-2020-01,2020-03-03T19:58:56Z,0
AL-2020-01,2020-03-04T14:02:40Z,0
AL-2020-01,2020-03-05T19:58:56Z,0
AL-2020-01,2020-03-06T14:02:40Z,0
AL-2020-01,2020-03-07T19:58:56Z,0
AL-2020-01,2020-03-08T19:01:20Z,0
AL-2020-01,2020-03-31T13:00:48Z,0
AL-2020-01,2020-04-02T18:59:12Z,0
AL-2020-01,2020-04-06T18:59:12Z,0
